Kode,Provinsi,Kabupaten,Jenjang,Baik,Rusak_Ringan,Rusak_Sedang,Rusak_Berat,Jumlah,pct_Baik,pct_Rusak_Ringan,pct_Rusak_Sedang,pct_Rusak_Berat,Rasio_siswa,Rasio_ruang_kelas,pct_anggaran_2016
3524,"Kab. Lamongan, Jawa Timur",Kab,SMP,191,897,146,220,1454, 13.1 , 61.7 , 10.0 , 15.1 ,242.97,8.67,10.8
3508,"Kab. Lumajang, Jawa Timur",Kab,SMP,355,616,106,51,1128, 31.5 , 54.6 , 9.4 , 4.5 ,251.76,7.93,18
3519,"Kab. Madiun, Jawa Timur",Kab,SMP,219,362,85,108,774, 28.3 , 46.8 , 11.0 , 14.0 ,414.96,15.07,13.1
3520,"Kab. Magetan, Jawa Timur",Kab,SMP,157,600,50,76,883, 17.8 , 68.0 , 5.7 , 8.6 ,372.78,16.3,17.6
3507,"Kab. Malang, Jawa Timur",Kab,SMP,654,1706,224,208,2792, 23.4 , 61.1 , 8.0 , 7.4 ,251.33,8.09,17.3
3516,"Kab. Mojokerto, Jawa Timur",Kab,SMP,187,766,111,137,1201, 15.6 , 63.8 , 9.2 , 11.4 ,285.03,9.34,12.4
3518,"Kab. Nganjuk, Jawa Timur",Kab,SMP,249,773,83,144,1249, 19.9 , 61.9 , 6.6 , 11.5 ,445.99,14.78,19
3521,"Kab. Ngawi, Jawa Timur",Kab,SMP,258,467,122,144,991, 26.0 , 47.1 , 12.3 , 14.5 ,346.11,11.59,14.5
3501,"Kab. Pacitan, Jawa Timur",Kab,SMP,263,385,26,22,696, 37.8 , 55.3 , 3.7 , 3.2 ,247.75,9.19,17.7
3528,"Kab. Pamekasan, Jawa Timur",Kab,SMP,87,540,110,127,864, 10.1 , 62.5 , 12.7 , 14.7 ,127.22,4.21,15.2
3514,"Kab. Pasuruan, Jawa Timur",Kab,SMP,295,958,68,93,1414, 20.9 , 67.8 , 4.8 , 6.6 ,310.79,9.54,14.9
3502,"Kab. Ponorogo, Jawa Timur",Kab,SMP,247,662,57,51,1017, 24.3 , 65.1 , 5.6 , 5.0 ,283.64,10.37,14.1
3513,"Kab. Probolinggo, Jawa Timur",Kab,SMP,219,828,102,99,1248, 17.5 , 66.3 , 8.2 , 7.9 ,164.2,5.43,16.4
3527,"Kab. Sampang, Jawa Timur",Kab,SMP,166,722,141,104,1133, 14.7 , 63.7 , 12.4 , 9.2 ,133.08,3.94,11.4
3515,"Kab. Sidoarjo, Jawa Timur",Kab,SMP,1131,1281,38,46,2496, 45.3 , 51.3 , 1.5 , 1.8 ,474.54,13.76,19.9
3529,"Kab. Sumenep, Jawa Timur",Kab,SMP,176,478,140,122,916, 19.2 , 52.2 , 15.3 , 13.3 ,141.18,5.24,13.4
3503,"Kab. Trenggalek, Jawa Timur",Kab,SMP,199,593,50,69,911, 21.8 , 65.1 , 5.5 , 7.6 ,307.62,10.92,17
3523,"Kab. Tuban, Jawa Timur",Kab,SMP,241,701,46,113,1101, 21.9 , 63.7 , 4.2 , 10.3 ,365.67,12.11,14.4
3504,"Kab. Tulungagung, Jawa Timur",Kab,SMP,304,774,49,77,1204, 25.2 , 64.3 , 4.1 , 6.4 ,481.48,14.99,14.7
3579,"Kota Batu, Jawa Timur",Kota,SMP,87,204,1,2,294, 29.6 , 69.4 , 0.3 , 0.7 ,317.58,11.65,9.9
3572,"Kota Blitar, Jawa Timur",Kota,SMP,74,242,2,2,320, 23.1 , 75.6 , 0.6 , 0.6 ,461.5,15.4,18.1
3571,"Kota Kediri, Jawa Timur",Kota,SMP,153,303,19,26,501, 30.5 , 60.5 , 3.8 , 5.2 ,488.52,14.31,15.1
3577,"Kota Madiun, Jawa Timur",Kota,SMP,147,212,9,0,368, 39.9 , 57.6 , 2.4 , -   ,463.9,16.9,23.1
3573,"Kota Malang, Jawa Timur",Kota,SMP,565,649,4,2,1220, 46.3 , 53.2 , 0.3 , 0.2 ,392.34,11.99,22.7
3576,"Kota Mojokerto, Jawa Timur",Kota,SMP,92,205,2,5,304, 30.3 , 67.4 , 0.7 , 1.6 ,496.39,15.83,13
3575,"Kota Pasuruan, Jawa Timur",Kota,SMP,152,151,6,16,325, 46.8 , 46.5 , 1.8 , 4.9 ,348.93,11.15,11.3
3578,"Kota Surabaya, Jawa Timur",Kota,SMP,1925,1795,29,40,3789, 50.8 , 47.4 , 0.8 , 1.1 ,379.79,10.84,17.6
6102,"Kab. Bengkayang, Kalimantan Barat",Kab,SMP,146,219,64,111,540, 27.0 , 40.6 , 11.9 , 20.6 ,170.41,5.04,11.7
6108,"Kab. Kapuas Hulu, Kalimantan Barat",Kab,SMP,108,328,46,41,523, 20.7 , 62.7 , 8.8 , 7.8 ,124.4,4.9,9.9
6111,"Kab. Kayong Utara, Kalimantan Barat",Kab,SMP,99,125,15,4,243, 40.7 , 51.4 , 6.2 , 1.6 ,148.59,5.78,12.3
6106,"Kab. Ketapang, Kalimantan Barat",Kab,SMP,180,470,86,121,857, 21.0 , 54.8 , 10.0 , 14.1 ,181.52,5.82,9.1
6112,"Kab. Kuburaya, Kalimantan Barat",Kab,SMP,184,411,78,149,822, 22.4 , 50.0 , 9.5 , 18.1 ,161.4,5.61,15.1
6103,"Kab. Landak, Kalimantan Barat",Kab,SMP,199,370,113,69,751, 26.5 , 49.3 , 15.0 , 9.2 ,210.16,6.16,12.6
6110,"Kab. Melawi, Kalimantan Barat",Kab,SMP,60,228,75,103,466, 12.9 , 48.9 , 16.1 , 22.1 ,99.46,4.04,9.6
6104,"Kab. Mempawah, Kalimantan Barat",Kab,SMP,133,177,8,14,332, 40.1 , 53.3 , 2.4 , 4.2 ,206.41,6.64,12.5
