country_code,latitude,longitude,country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NZ,-40.900557,174.885971,New Zealand,26.2139,16.2951,16.2951,16.059,15.8228,64.9444,37.3135,56.6477,53.7629,42.4858,35.9294,34.0935,33.8313,40.3877,23.341,31.7332,22.493
PL,51.919438,19.145136,Poland,14.1871,16.7881,17.261,17.9703,14.8965,15.6058,14.4235,14.66,13.2413,13.7142,14.8965,19.8619,19.8619,22.9358,21.7535,21.0442,22.2343
NL,52.132633,5.291266,Netherlands,37.2797,44.8271,30.4184,6.4039,46.1994,40.4816,30.4184,22.871,16.6958,21.27,23.5571,21.0413,34.0777,24.4719,20.8126,20.1265,18.9067
FR,46.227638,2.213749,France,25.0639,24.591,22.4629,21.99,21.0442,20.3348,18.9161,17.7339,18.4432,16.7881,15.6058,15.6058,15.3694,16.5516,15.6058,15.1329,16.126
HU,47.162494,19.503304,Hungary,24.8274,35.9406,24.8274,18.4432,17.261,15.3694,15.3694,16.0787,13.2413,12.5319,12.2955,12.059,12.2955,13.4777,13.9506,13.0048,15.8817
HR,45.1,15.2,Croatia,0,0,0,19.3825,18.4254,17.7075,16.511,15.3146,14.5967,12.4431,11.9645,11.7252,12.6824,14.3574,13.4003,13.4003,14.0942
AT,47.516231,14.550072,Austria,18.1755,17.2667,16.5851,16.3579,17.0395,16.1307,17.2667,16.8123,16.3579,16.1307,16.1307,16.3579,16.1307,14.5404,13.8588,13.4044,13.3817
GR,39.074208,21.824312,Greece,2.5655,2.5655,1.3994,1.6326,1.6326,1.3994,1.1661,1.8658,1.6326,4.1981,1.6326,1.8658,1.3994,1.3994,3.7316,3.7316,4.097
JP,36.204824,138.252924,Japan,4.2794,5.9435,6.8945,6.419,5.7058,6.1813,5.9435,5.2303,4.9926,4.9926,4.9926,4.5171,4.5171,4.0416,3.8039,3.5661,3.1937
CL,-35.675147,-71.542969,Chile,4.0587,3.1568,3.1568,2.9313,2.2548,2.4803,2.4803,3.6077,3.8332,5.4116,6.3135,6.539,4.5097,4.2842,3.3823,2.7058,2.796
