area,label,ind,emp,wage
23,Perancis,Konsumsi Negara Lainnya,96573,
24,Jerman,Konsumsi Negara Lainnya,95741,
25,Yunani,Konsumsi Negara Lainnya,97874,
26,Hongaria,Konsumsi Negara Lainnya,98021,
27,Islandia,Konsumsi Negara Lainnya,98170,
28,Irlandia,Konsumsi Negara Lainnya,98039,
29,Italia,Konsumsi Negara Lainnya,96941,
30,Latvia,Konsumsi Negara Lainnya,98150,
31,Lithuania,Konsumsi Negara Lainnya,98126,
32,Luksemburg,Konsumsi Negara Lainnya,98131,
33,Macedonia,Konsumsi Negara Lainnya,98169,
34,Belanda,Konsumsi Negara Lainnya,97340,
35,Norway,Konsumsi Negara Lainnya,97965,
36,Polandia,Konsumsi Negara Lainnya,97529,
37,Portugal,Konsumsi Negara Lainnya,97932,
38,Rumania,Konsumsi Negara Lainnya,97985,
39,Slowakia,Konsumsi Negara Lainnya,98100,
40,Slovenia,Konsumsi Negara Lainnya,98137,
41,Spanyol,Konsumsi Negara Lainnya,96895,
42,Swedia,Konsumsi Negara Lainnya,97868,
43,Swiss,Konsumsi Negara Lainnya,97966,
44,Turki,Konsumsi Negara Lainnya,97181,
45,Kerajaan Inggris,Konsumsi Negara Lainnya,96590,
46,Eropa lainnya,Konsumsi Negara Lainnya,97856,
47,Azerbaijan,Konsumsi Negara Lainnya,98096,
48,Belarus,Konsumsi Negara Lainnya,98053,
49,Kazakhstan,Konsumsi Negara Lainnya,97877,
50,Federasi Rusia,Konsumsi Negara Lainnya,94964,
51,Turkmenistan,Konsumsi Negara Lainnya,98033,
52,Ukraina,Konsumsi Negara Lainnya,97982,
53,Uzbekistan,Konsumsi Negara Lainnya,98117,
54,CIS lainnya,Konsumsi Negara Lainnya,98100,
55,Iran,Konsumsi Negara Lainnya,96372,
56,Irak,Konsumsi Negara Lainnya,97397,
57,Israel,Konsumsi Negara Lainnya,97941,
58,Kuwait,Konsumsi Negara Lainnya,97739,
59,Oman,Konsumsi Negara Lainnya,97999,
60,Qatar,Konsumsi Negara Lainnya,97834,
61,Arab Saudi,Konsumsi Negara Lainnya,94270,
62,Uni Emirat Arab,Konsumsi Negara Lainnya,97181,
63,Timur Tengah lainnya,Konsumsi Negara Lainnya,97668,
64,Aljazair,Konsumsi Negara Lainnya,97777,
65,Mesir,Konsumsi Negara Lainnya,97372,
66,Maroko,Konsumsi Negara Lainnya,97906,
67,Afrika Selatan,Konsumsi Negara Lainnya,97608,
68,Afrika Timur,Konsumsi Negara Lainnya,97565,
69,Afrika Tengah,Konsumsi Negara Lainnya,97921,
70,Afrika Barat,Konsumsi Negara Lainnya,97496,
71,Afrika Utara lainnya,Konsumsi Negara Lainnya,97873,
72,Afrika Selatan lainnya,Konsumsi Negara Lainnya,98127,
73,Australia,Konsumsi Negara Lainnya,97109,
74,Bangladesh,Konsumsi Negara Lainnya,98042,
75,Cina,Konsumsi Negara Lainnya,85389,
76,Hong Kong,Konsumsi Negara Lainnya,97761,
77,India,Konsumsi Negara Lainnya,93498,
78,Indonesia,Konsumsi Negara Lainnya,96536,
79,Jepang,Konsumsi Negara Lainnya,94200,
80,Malaysia,Konsumsi Negara Lainnya,97385,
81,Selandia Baru,Konsumsi Negara Lainnya,98013,
82,Pakistan,Konsumsi Negara Lainnya,97599,
83,Filipina,Konsumsi Negara Lainnya,97733,
84,Singapura,Konsumsi Negara Lainnya,96758,
85,Korea Selatan,Konsumsi Negara Lainnya,95392,
86,Srilanka,Konsumsi Negara Lainnya,98081,
87,Taiwan,Konsumsi Negara Lainnya,97137,
88,Thailand,Konsumsi Negara Lainnya,96765,
89,Vietnam,Konsumsi Negara Lainnya,97702,
90,Asia Pasifik lainnya,Konsumsi Negara Lainnya,97709,
